valid_time,station,fc_windspd__gfs,fc_gust__gfs,fc_windspd__harmeu,fc_gust__harmeu,fc_windspd__icon,fc_gust__icon,fc_windspd__iconeu,fc_gust__iconeu,fc_windspd__wrfeuh,fc_gust__wrfeuh,fc_winddir_sin__gfs,fc_winddir_cos__gfs,fc_winddir_sin__harmeu,fc_winddir_cos__harmeu,fc_winddir_sin__icon,fc_winddir_cos__icon,fc_winddir_sin__iconeu,fc_winddir_cos__iconeu,fc_winddir_sin__wrfeuh,fc_winddir_cos__wrfeuh,y_speed,y_gust,y_dir_sin,y_dir_cos
2024-11-17 03:00:00,station3529_schausende,,,8.5,15.0,,,8.1,15.9,,,,,-0.8090169943749473,-0.5877852522924732,,,-0.961261695938319,-0.2756373558169989,,,9.97,16.81,-0.9705064734685425,-0.24107506083303878
2024-11-17 06:00:00,station3529_schausende,11.0,23.8,7.4,12.5,8.9,14.7,9.1,14.9,9.0,24.4,-0.9961946980917455,-0.08715574274765825,-0.7986355100472928,-0.6018150231520483,-0.882947592858927,-0.46947156278589075,-0.882947592858927,-0.46947156278589075,-0.9743700647852351,-0.22495105434386525,6.26,11.42,-0.725134045749493,-0.6886077371733287
2024-11-17 09:00:00,station3529_schausende,,,13.5,23.6,,,,,,,,,-0.9271838545667873,-0.3746065934159123,,,,,,,15.24,21.18,-0.9872476426302977,-0.15919199766608844
2024-11-17 12:00:00,station3529_schausende,12.5,20.2,9.2,16.4,12.1,20.4,11.9,19.7,11.0,20.5,-0.9271838545667874,0.37460659341591196,-0.9563047559630353,-0.2923717047227371,-0.9816271834476639,0.1908089953765451,-0.9781476007338056,0.20791169081775945,-0.9335804264972017,0.3583679495453004,13.86,20.46,-0.9772311064626789,-0.21217767215644648
2024-11-17 15:00:00,station3529_schausende,,,11.5,20.6,,,12.7,21.5,,,,,-0.9659258262890683,-0.25881904510252063,,,-0.992546151641322,0.12186934340514768,,,10.67,19.36,-0.9571680296167081,-0.28953300861847964
2024-11-17 18:00:00,station3529_schausende,14.6,27.2,8.4,25.4,11.8,20.7,12.0,20.2,12.1,28.1,-0.9702957262759966,0.24192189559966745,-0.7986355100472928,-0.6018150231520483,-0.9975640502598242,-0.06975647374412558,-0.9986295347545738,-0.052335956242944306,-0.9945218953682734,-0.10452846326765336,14.69,21.02,-0.9890416459071093,-0.14763679304751956
2024-11-17 21:00:00,station3529_schausende,,,8.8,21.5,,,9.5,17.2,,,,,-0.8571673007021121,-0.5150380749100544,,,-0.9925461516413221,-0.12186934340514717,,,13.12,21.15,-0.9643267785343496,-0.26471468452196506
2024-11-18 00:00:00,station3529_schausende,10.7,24.4,13.0,23.0,9.5,16.1,9.4,15.9,9.5,24.1,-1.0,-1.8369701987210297e-16,-0.981627183447664,-0.1908089953765446,-0.8987940462991668,-0.43837114678907774,-0.90630778703665,-0.42261826174069916,-0.961261695938319,-0.2756373558169989,13.11,20.26,-0.9546049635134071,-0.29787474487704846
2024-11-18 03:00:00,station3529_schausende,,,9.8,19.1,,,8.9,15.4,,,,,-0.9205048534524403,-0.3907311284892738,,,-0.874619707139396,-0.48480962024633684,,,14.29,22.93,-0.966510581262098,-0.2566267645987095
2024-11-18 06:00:00,station3529_schausende,13.7,26.4,7.0,20.9,11.6,20.0,11.4,19.3,16.2,31.9,-0.9135454576426011,0.40673664307579976,-0.8191520442889916,-0.5735764363510464,-0.9743700647852351,-0.22495105434386525,-0.9876883405951377,-0.15643446504023104,-0.945518575599317,0.3255681544571563,16.8,25.8,-0.9978703230397468,0.06522896899807165
2024-11-18 09:00:00,station3529_schausende,,,7.6,13.0,,,11.6,21.1,,,,,-0.984807753012208,-0.17364817766693033,,,-0.9993908270190958,0.03489949670250128,,,15.37,21.68,-0.9976485293539165,-0.06853766758482248
2024-11-18 12:00:00,station3529_schausende,15.0,22.8,6.2,25.1,13.8,24.5,13.2,23.5,16.4,23.0,-0.9945218953682734,0.10452846326765299,-0.8987940462991668,-0.43837114678907774,-0.9993908270190958,0.03489949670250128,-0.9993908270190958,0.03489949670250128,-0.9848077530122081,0.17364817766692997,17.17,24.84,-0.994448678381413,-0.10522274500059804
2024-11-18 15:00:00,station3529_schausende,,,12.6,24.9,,,11.2,21.2,,,,,-0.9998476951563913,0.01745240643728313,,,-0.992546151641322,0.12186934340514768,,,17.47,24.11,-0.9924822049491695,-0.12238902262553923
2024-11-18 18:00:00,station3529_schausende,9.0,20.3,6.0,22.1,9.9,18.8,9.8,17.4,7.7,24.3,-0.9993908270190958,0.03489949670250128,-0.8290375725550418,-0.5591929034707466,-0.9986295347545738,-0.052335956242944306,-0.9993908270190958,-0.03489949670250076,-0.9993908270190958,0.03489949670250128,14.92,22.08,-0.9992290362407229,0.039259815759068645
2024-11-18 21:00:00,station3529_schausende,,,6.8,11.8,,,6.6,12.5,,,,,-0.7986355100472928,-0.6018150231520483,,,-0.8910065241883678,-0.45399049973954697,,,8.67,12.86,-0.9998256268259461,0.018673937509374704
2024-11-19 00:00:00,station3529_schausende,4.6,5.2,5.4,10.8,4.5,9.0,4.5,9.1,6.8,6.0,-0.9743700647852352,0.22495105434386492,-0.8090169943749473,-0.5877852522924732,-0.90630778703665,-0.42261826174069916,-0.90630778703665,-0.42261826174069916,-0.8290375725550418,-0.5591929034707466,2.53,6.53,-0.5204136140522793,-0.8539143225810452
2024-11-19 03:00:00,station3529_schausende,,,4.8,8.1,,,4.6,7.9,,,,,-0.052335956242943564,-0.9986295347545738,,,-0.2588190451025208,-0.9659258262890683,,,4.11,9.05,-0.5227961604415268,-0.8524577260061623
2024-11-19 06:00:00,station3529_schausende,6.1,11.3,5.2,10.4,3.8,7.0,4.0,7.4,6.8,11.6,-0.275637355816999,-0.9612616959383189,1.2246467991473532e-16,-1.0,-0.4067366430758002,-0.9135454576426009,-0.39073112848927355,-0.9205048534524404,0.05233595624294381,-0.9986295347545738,2.47,6.36,0.2628628232988116,-0.964833216741307
2024-11-19 09:00:00,station3529_schausende,,,2.7,9.0,,,2.6,7.2,,,,,-0.32556815445715676,-0.9455185755993167,,,0.6691306063588585,-0.743144825477394,,,1.09,4.2,0.8131007610470277,-0.5821229701572893
2024-11-19 12:00:00,station3529_schausende,0.3,2.1,2.1,5.2,2.4,4.6,1.8,4.2,3.0,3.7,0.4539904997395468,0.8910065241883679,-0.9993908270190958,0.03489949670250128,0.6293203910498374,0.7771459614569709,0.6560590289905073,0.754709580222772,0.788010753606722,0.6156614753256583,0.01,0.12,0.9325130195880528,-0.3611363569329068
2024-11-19 15:00:00,station3529_schausende,,,6.9,12.4,,,7.2,12.6,,,,,-0.5591929034707466,0.8290375725550418,,,0.3420201433256687,0.9396926207859084,,,3.5,7.3,0.4017879572638456,0.9157327325141033
2024-11-19 18:00:00,station3529_schausende,10.7,16.1,5.5,12.3,7.7,13.5,8.0,13.9,9.6,13.9,0.15643446504023087,0.9876883405951378,-0.8571673007021123,0.5150380749100542,-2.4492935982947064e-16,1.0,-0.06975647374412564,0.9975640502598242,0.3255681544571567,0.9455185755993168,7.3,12.26,0.15660684679199197,0.9876610225871372
2024-11-19 21:00:00,station3529_schausende,,,7.6,17.7,,,5.5,10.4,,,,,-0.7880107536067218,0.6156614753256585,,,-0.6691306063588581,0.7431448254773944,,,5.37,8.92,-0.98092124011907,0.1944055572334953
2024-11-20 00:00:00,station3529_schausende,7.8,12.5,5.3,10.3,5.9,10.5,5.3,9.3,7.3,9.2,-0.7431448254773946,0.6691306063588578,-0.984807753012208,-0.17364817766693033,-0.8910065241883679,0.45399049973954664,-0.9135454576426011,0.40673664307579976,-0.9063077870366498,0.4226182617406996,5.47,9.12,-0.9950901784711765,0.09897240378106484
2024-11-20 03:00:00,station3529_schausende,,,5.3,10.8,,,5.4,9.8,,,,,-0.8571673007021121,-0.5150380749100544,,,-0.8746197071393956,0.4848096202463373,,,5.88,9.54,-0.9956599687024419,0.09306571185701204
2024-11-20 06:00:00,station3529_schausende,6.8,9.9,5.4,9.8,5.4,10.0,5.3,9.6,6.5,10.6,-0.9563047559630354,0.2923717047227367,-0.7771459614569706,-0.6293203910498378,-0.9993908270190958,0.03489949670250128,-0.9975640502598243,0.06975647374412522,-0.945518575599317,0.3255681544571563,3.41,6.17,-0.7625554319679515,-0.6469228803931508
2024-11-20 09:00:00,station3529_schausende,,,5.1,10.6,,,5.8,10.3,,,,,-0.8660254037844384,-0.5000000000000004,,,-0.9925461516413221,-0.12186934340514717,,,7.7,10.96,-0.9999743970151198,-0.00715578886270059
2024-11-20 12:00:00,station3529_schausende,9.7,15.3,6.4,12.5,6.4,11.9,6.1,11.2,10.8,14.2,-0.7193398003386512,0.6946583704589973,-0.984807753012208,-0.17364817766693033,-0.9961946980917455,-0.08715574274765825,-0.984807753012208,-0.17364817766693033,-0.6427876096865396,0.7660444431189778,8.21,13.36,-0.9966659280340299,-0.08159061156815799
2024-11-20 15:00:00,station3529_schausende,,,5.8,14.0,,,3.2,11.9,,,,,-0.992546151641322,0.12186934340514768,,,-0.9848077530122081,0.17364817766692997,,,3.1,6.86,-0.9582227920298916,0.28602286767746227
2024-11-20 18:00:00,station3529_schausende,8.8,15.8,8.4,16.5,6.0,10.7,5.8,10.3,8.2,16.5,-0.544639035015027,0.838670567945424,-0.7547095802227722,0.656059028990507,-0.45399049973954697,0.8910065241883678,-0.4848096202463369,0.8746197071393959,-0.5000000000000004,0.8660254037844384,2.26,7.35,0.028619491372294817,0.9995903784618934
2024-11-20 21:00:00,station3529_schausende,,,6.5,10.8,,,5.0,9.7,,,,,-0.9781476007338056,0.20791169081775945,,,-0.7986355100472932,0.6018150231520479,,,7.05,10.91,-0.9921801896421792,0.12481374636477047
